dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
antao-2023-068,Antao 2023,antao-2023,included,2023,Nature Communications,Yes,Yes,https://doi.org/10.5281/zenodo.10009391; https://www.ebi.ac.uk/empiar/EMPIAR-11683/,Zenodo; EMPIAR,537.9 GB,537900000000,537900000000,,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,SBF-SEM,3,2,30-60,Yeast (pathogenic),Encephalitozoon intestinalis,39,Ei,21,N,"21+ E.i. (""A minimum of 7 parasites were segmented completely per condition"" [sporonts, sporoblasts, spores])",Nucleus; ER; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
antao-2023-098,Antao 2023,antao-2023,included,2023,Nature Communications,Yes,Yes,https://doi.org/10.5281/zenodo.10009391; https://www.ebi.ac.uk/empiar/EMPIAR-11683/,Zenodo; EMPIAR,537.9 GB,537900000000,537900000000,,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,SBF-SEM,3,2,30-60,NHP,Vero (Cercopithecus aethiops),64,Vero,4,Y,"4 Vero (inc PV, Fig 5)","nucleus, mito, ER",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
attias-2022-004,Attias 2022,attias-2022,included,2022,Micron,No,No,,,,,,,"N (""no data was used for the research described in the article""?)",FIB-SEM,1,?,?,Protist (parasitic protozoan),Trypanosoma sp. 858,4,Tr858,1,N,Unclear,Nucleus; Lipid Droplets; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
bianco-2023-055,Bianco 2023,bianco-2023,included,2023,Small Methods,Yes,No,,,,,,,Data Availability Statement The data that support the findings of this study are available from the corresponding author upon reasonable request.,Optical tomography (phase contrast),7,0.5 (?),?,Yeast,Saccharomyces cerevisiae,38,Sc,4,Y,,Nucleus; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
burrell-2022-014,Burrell 2022,burrell-2022,included,2022,PLoS Pathogens,Yes,No,,,,,,,,SBF-SEM,3,?,100-200,Protist (parasitic protozoan),Eimeria tenella,11,Et,25,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
carlson-2013-056,Carlson 2013,carlson-2013,included,2013,Microscopy and Microanalysis,No,No,,,,,,,,SXT,2,50,50,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,A yeast cell,Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
chen-2022-107,Chen 2022,chen-2022,included,2022,Viruses,Yes,No,,,,,,,The data supporting this studyâ€™s findings are available from the corresponding author upon request.,SXT,2,60,60,Human (differentiated),B lymphocyte,71,humB,1,Y,true whole-cell reconstruction,Nucleus; Mitochondria; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
cho-2023-118,Cho 2023,cho-2023,included,2023,Analytical Chemistry,No,No,,,,,,,,Optical tomography (diffraction),7,110,365,Human (cancer),HeLa,80,HeLa,2,Y,"(nucleus + autophagosome, Fig 5C, originally thought we'd include Fig 7 but cells appear to be cut off)",Nucleus; Autophagosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
conesa-2020-016,Conesa 2020,conesa-2020,included,2020,mSphere,Yes,No,,,,,,,,SXT,2,50,50,Protist (parasitic protozoan),Babesia divergens,13,Bd,40,N,"at least 40 parasites in 19 RBCs, counted from Fig 4, couldn’t find SS stated in text;",Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
cooper-2017-010,Cooper 2017,cooper-2017,included,2017,Parasites & Vectors,Yes,No,,,,,,,"Availability of data and material The datasets used and/or analysed during the current study are available from the corresponding author on reasonable request, where not included in the published article or additional files.",FIB-SEM,1,?,25,Protist (parasitic protozoan),Trypanosoma (currawong),7,TrCur,2,Y,"2 full reconstructions; quants from 25 cells, only kinetoplasts segmented",Mitochondria; endosome,reservosome (late endosome),Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
