study_id,study_slug,included_status,title,pmid,year_published,journal_published,article_type_general,article_type_specific,open_access,data_available,data_availability_notes,imaging_modality,resolution,sample_size_number,sample_size_notes,model_system,model_system_specific,organelles,quantifications,comparators_conditions,comments,source_file,source_sheet,source_repo_url,source_commit
Araki 2020,araki-2020,borderline,Three-dimensional electron microscopy analysis reveals endopolygeny-like nuclear architecture segregation in Plasmodium oocyst development.,31805442,2020,Parasitology International,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Biazik 2015,biazik-2015,borderline,Ultrastructural relationship of the phagophore with surrounding organelles.,25714487,2015,Autophagy,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Bullen 2015,bullen-2015,borderline,Association of intracellular and synaptic organization in cochlear inner hair cells revealed by 3D electron microscopy.,26045447,2015,Journal of Cell Science,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Cardoen 2024,cardoen-2024,borderline,Membrane contact site detection (MCS-DETECT) reveals dual control of rough mitochondria-ER contacts.,37948126,2024,JCB,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Cortese 2020,cortese-2020,borderline,Integrative Imaging Reveals SARS-CoV-2-Induced Reshaping of Subcellular Morphologies.,33245857,2020,Cell Host & Microbe,,,,,,,,,,,,,,,Consensus,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Darif 2023,darif-2023,borderline,"From Organ to Organelle: towards a Multimodal 3D Cell Atlas of the Malaria Parasite Mosquito stages using Correlative Light, X-ray and volume Electron Microscopy.",37613241,2023,Microscopy and Microanalysis,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Elgass 2015,elgass-2015,borderline,Analysis of ER-mitochondria contacts using correlative fluorescence microscopy and soft X-ray tomography of mammalian cells.,26101352,2015,J Cell Sci,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Feng 2023,feng-2023,borderline,Plantorganelle Hunter is an effective deep-learning-based method for plant organelle phenotyping in electron microscopy.,37749240,2023,Nature Plants,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Ferrandiz 2023,ferrandiz-2023,borderline,3D Ultrastructural Visualization of Mitosis Fidelity in Human Cells Using Serial Block Face Scanning Electron Microscopy (SBF-SEM).,37449034,2023,Bio-protocol,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Gan 2017,gan-2017,borderline,Cell polarity defines three distinct domains in pancreatic Î²-cells.,26919978,2017,J Cell Sci,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Guo 2022,guo-2022,borderline,"Quantitative, in situ visualization of intracellular insulin vesicles in pancreatic beta cells.",35921440,2022,Proc Natl Acad Sci U S A,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Hanssen 2010,hanssen-2010,borderline,"Whole cell imaging reveals novel modular features of the exomembrane system of the malaria parasite, Plasmodium falciparum.",19766648,2010,Int J Parasitol,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Heinrich 2021,heinrich-2021,borderline,Whole-cell organelle segmentation in volume electron microscopy.,34616042,2021,Nature,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
